814919370711461890,"Great move on delay (by V. Putin) - I always knew he was very smart!",2016-12-30 19:41:33,pos
816260343391514624,"General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!",2017-01-03 12:30:05,neg
819867246352801792,"What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!",2017-01-13 11:22:38,neg
875441788110110727,"Crooked H destroyed phones w/ hammer, 'bleached' emails, and had husband meet w/AG days before she was cleared- and they talk about obstruction?",2017-06-15 19:56:01,neg
878946025662296064,"Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!",2017-06-25 12:00:37,neg
919914000959397888,"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""",2017-10-16 13:12:43,pos
820251730407473153,"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",2017-01-14 12:50:26,neg
828342202174668800,"Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!",2017-02-05 20:39:05,neg
830769247185952772,"I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!",2017-02-12 13:23:18,neg
835610917568200705,"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",2017-02-25 22:02:22,pos
837996746236182529,"How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!",2017-03-04 12:02:48,neg
838016045222854656,"Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show",2017-03-04 13:19:29,neg
859209801175269376,"President Andrew Jackson, who died 16 years before the Civil War started, saw it coming and was angry. Would never have let it happen!",2017-05-02 00:55:54,neg
871725780535062528,"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",2017-06-05 13:49:56,neg
871328428963901440,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",2017-06-04 11:31:00,neg
871899511525961728,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",2017-06-06 01:20:17,neg
933282274937733126,"...LaVar, you could have spent the next 5 to 10 years during Thanksgiving with your son in China, but no NBA contra",2017-11-22 10:33:28,neg
892920397162848257,"I love the White House, one of the most beautiful buildings (homes) I have ever seen. But Fake News said I called it a dump - TOTALLY UNTRUE",2017-08-03 01:29:46,pos
901263061511794688,"I am pleased to inform you that I have just granted a full Pardon to 85 year old American patriot Sheriff Joe Arpaio. He kept Arizona safe!",2017-08-26 02:00:33,pos
886319322154586112,"MAKE AMERICA GREAT AGAIN!",2017-07-15 20:19:28,pos
881662619282702338,"Stock Market at all time high, unemployment at lowest level in years (wages will start going up) and our base has never been stronger!",2017-07-02 23:55:23,pos
914810093874671617,"My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!",2017-10-02 11:11:37,pos
822669114237943808,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN",2017-01-21 04:56:15,pos
828447350200926212,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",2017-02-06 03:36:54,pos
871145660036378624,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",2017-06-03 23:24:45,pos
