Id,Text,Date,Open,Market_change
815989154555297792,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race and victory. Hope it does well but used worst cover photo of me!",2017-01-02,102.38,0.61
816068355555815424,"China has been taking out massive amounts of money and wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",2017-01-03,102.88,0.37
816057920223846400,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,2017-01-03,102.88,0.37
816264484629184513,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",2017-01-03,102.88,0.37
816260343391514624,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,2017-01-03,102.88,0.37
816298944456232960,"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",2017-01-03,102.88,0.37
816637064708030464,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",2017-01-04,103.17,-0.49
816620855958601730,"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",2017-01-04,103.17,-0.49
816452807024840704,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",2017-01-04,103.17,-0.49
816977032433270784,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is time for Republicans and Democrats to get together and come up with a healthcare plan that really works - much less expensive and FAR BETTER!",2017-01-05,102.45,-1.15
816999062562107392,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",2017-01-05,102.45,-1.15
817374875962769408,"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast and Steven Newhouse, a friend. Will go this AM.",2017-01-06,101.4,0.69
817453219613917185,Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,2017-01-06,101.4,0.69
817348644647108609,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich and Hillary",2017-01-06,101.4,0.69
817164923843280896,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",2017-01-06,101.4,0.69
817334794958807042,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,2017-01-06,101.4,0.69
817329823374831617,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",2017-01-06,101.4,0.69
817166353266262016,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,2017-01-06,101.4,0.69
817341196251070464,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",2017-01-06,101.4,0.69
817579925771341825,Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,2017-01-09,102.25,-0.28
817701436096126977,Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,2017-01-09,102.25,-0.28
817703208567078913,Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,2017-01-09,102.25,-0.28
817748207694467072,"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",2017-01-09,102.25,-0.28
818169485169410048,"Before I, or anyone, saw the classified and/or highly confidential hacking intelligence report, it was leaked out to @NBCNews. So serious!",2017-01-09,102.25,-0.28
817915516018892805,"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",2017-01-09,102.25,-0.28
818419002548568064,"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him ""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!",2017-01-09,102.25,-0.28
